Facilities,Clients,LP,MFN,OPT,LS,CFL-LP/OPT,Local Search/OPT,MFN-LP/OPT
5,10,416.0,166.28207727215803,416.0,432.0,1.0,1.0384615384615385,0.39971653190422607
5,10,419.33333333333337,119.18062107822638,423.0,428.0,0.9913317572892042,1.011820330969267,0.28175087725349024
5,10,379.0,144.87863115108195,379.0,379.0,1.0,1.0,0.3822655175490289
5,10,338.0,175.69774286685524,338.0,351.0,1.0,1.0384615384615385,0.5198158072983883
5,10,481.0,160.09668493864223,481.0,520.0,1.0,1.0810810810810811,0.33284134082877803
5,10,358.0,144.6852558988368,358.0,358.0,1.0,1.0,0.40414875949395757
5,10,306.0,146.2362914937378,306.0,306.0,1.0,1.0,0.4778963774305157
5,10,386.0,147.10506358743353,386.0,408.0,1.0,1.0569948186528497,0.3811012010037138
5,10,482.0,131.36979198561465,482.0,482.0,1.0,1.0,0.27255143565480217
5,10,475.0,158.2726195366298,475.0,499.0,1.0,1.0505263157894738,0.3332055148139575
5,10,391.0,128.6537023534808,391.0,423.0,1.0,1.081841432225064,0.3290376019270609
5,10,420.0,161.13902468404217,420.0,441.0,1.0,1.05,0.3836643444858147
5,10,601.0,198.85891336570893,601.0,630.0,1.0,1.0482529118136439,0.33088005551698657
5,10,304.0,152.04227603621993,304.0,326.0,1.0,1.0723684210526316,0.5001390659086182
5,10,383.75,133.2377275561167,388.0,417.0,0.9890463917525774,1.074742268041237,0.3433962050415379
5,10,360.0,164.27083278797602,360.0,360.0,1.0,1.0,0.45630786885548896
5,10,289.0,153.00222379893353,289.0,317.0,1.0,1.0968858131487889,0.5294194595118807
5,10,355.66666666666663,146.4267590569692,356.0,366.0,0.999063670411985,1.0280898876404494,0.41131112094654265
5,10,458.0,146.10008378765085,458.0,478.0,1.0,1.0436681222707425,0.318995816130242
5,10,412.0,148.41489444254546,412.0,412.0,1.0,1.0,0.3602303263168579
5,10,362.0,138.2383163536355,362.0,379.0,1.0,1.0469613259668509,0.381873802081866
5,10,407.5,143.8478601921156,409.0,409.0,0.9963325183374083,1.0,0.35170625963842445
5,10,290.0,107.78686989282409,290.0,323.0,1.0,1.1137931034482758,0.3716788616993934
5,10,403.0,136.54650042304615,403.0,403.0,1.0,1.0,0.3388250630844818
5,10,401.0,142.58246209662457,401.0,401.0,1.0,1.0,0.3555672371486897
5,10,394.0,150.99912412528187,394.0,394.0,1.0,1.0,0.38324650793218745
5,10,411.0,174.62611666117704,411.0,434.0,1.0,1.0559610705596107,0.42488106243595386
5,10,410.0,146.4279120343644,410.0,410.0,1.0,1.0,0.35714124886430343
5,10,438.0,149.81856876074656,438.0,438.0,1.0,1.0,0.3420515268510195
5,10,442.0,167.1419117120808,442.0,442.0,1.0,1.0,0.3781491215205448
5,10,495.0,142.5175129375697,507.0,535.0,0.9763313609467456,1.0552268244575937,0.2810996310405714
