Facilities,Clients,LP,MFN,OPT,LS,CFL-LP/OPT,Local Search/OPT,MFN-LP/OPT
5,10,4583.888888888889,6809.0,6809.0,6809.0,0.6732102935657055,1.0,1.0
5,10,4434.555555555555,4599.0,4599.0,4599.0,0.964243434563069,1.0,1.0
5,10,2760.0,2760.0,2760.0,2760.0,1.0,1.0,1.0
5,10,3691.0,3691.0,3691.0,3691.0,1.0,1.0,1.0
5,10,4674.0,4674.0,4674.0,4674.0,1.0,1.0,1.0
5,10,2876.0,2876.0,2876.0,2876.0,1.0,1.0,1.0
5,10,2006.9999999999998,4961.0,5389.0,5389.0,0.3724253108183336,1.0,0.9205789571349045
5,10,5764.777777777777,6834.0,6834.0,6834.0,0.843543719311937,1.0,1.0
5,10,17590.0,17590.0,17590.0,17590.0,1.0,1.0,1.0
5,10,18481.0,18481.0,18481.0,18481.0,1.0,1.0,1.0
5,10,6559.0,6559.0,6559.0,6559.0,1.0,1.0,1.0
5,10,3151.222222222222,3653.0,3653.0,3653.0,0.8626395352374,1.0,1.0
5,10,2266.8888888888887,2873.9999999999995,3091.0,3091.0,0.7333836586505625,1.0,0.9297961824652214
5,10,2459.0,2459.0,2459.0,2459.0,1.0,1.0,1.0
5,10,18302.555555555555,18489.0,18489.0,18489.0,0.9899159259860216,1.0,1.0
5,10,3400.6666666666665,5492.0,5492.0,5492.0,0.6192036902160718,1.0,1.0
5,10,10334.444444444443,12530.0,12530.0,12530.0,0.8247760929325174,1.0,1.0
5,10,5074.444444444444,5305.071895424836,8420.0,8420.0,0.6026656109791502,1.0,0.6300560445872727
5,10,2296.6666666666665,4944.28,5431.0,5431.0,0.4228809918369852,1.0,0.9103811452771128
5,10,3074.777777777778,3551.0,3551.0,3551.0,0.8658906724240433,1.0,1.0
5,10,17642.0,17642.0,17642.0,17642.0,1.0,1.0,1.0
5,10,1925.0,3112.424836601307,3597.0,3597.0,0.5351681957186545,1.0,0.8652835242149867
5,10,2226.222222222222,5176.35294117647,5520.0,5520.0,0.40330112721417066,1.0,0.9377450980392156
5,10,9594.444444444445,9667.0,9667.0,9667.0,0.9924945116835052,1.0,1.0
5,10,1736.111111111111,1736.111111111111,2451.0,2451.0,0.7083276667119996,1.0,0.7083276667119996
5,10,1932.5555555555557,3407.0,3407.0,3407.0,0.567230864559893,1.0,1.0
5,10,2679.222222222222,2791.0,2791.0,2791.0,0.9599506349775071,1.0,1.0
5,10,2397.0,2397.0,2397.0,2397.0,1.0,1.0,1.0
5,10,4455.666666666666,4625.0,4625.0,4625.0,0.9633873873873873,1.0,1.0
5,10,10364.0,10364.0,10364.0,10364.0,1.0,1.0,1.0
5,10,2777.0,3323.326797385621,4415.0,4415.0,0.6289920724801812,1.0,0.7527354014463468
5,10,16882.333333333332,16882.333333333332,17686.0,17686.0,0.9545591616721323,1.0,0.9545591616721323
5,10,2897.5555555555557,3392.0,3392.0,3392.0,0.8542321802935011,1.0,1.0
5,10,3159.8888888888887,4683.0,4683.0,4683.0,0.6747573967304908,1.0,1.0
5,10,5543.0,5543.0,5543.0,5543.0,1.0,1.0,1.0
5,10,1911.6666666666665,5339.0,5339.0,5339.0,0.3580570643691078,1.0,1.0
5,10,5657.555555555556,6734.0,6734.0,6734.0,0.8401478401478402,1.0,1.0
5,10,1704.7777777777776,2441.0,2441.0,2441.0,0.6983931904046611,1.0,1.0
5,10,18676.0,18676.0,18676.0,18676.0,1.0,1.0,1.0
5,10,3492.5555555555557,3649.0,3649.0,3649.0,0.9571267622788587,1.0,1.0
5,10,1875.8888888888887,3056.424836601307,3423.0,3423.0,0.5480247995585418,1.0,0.8929082198659968
5,10,6444.555555555555,6591.0,6591.0,6591.0,0.9777811493787824,1.0,1.0
5,10,3034.4444444444443,5613.058823529412,6397.0,6397.0,0.4743542980216421,1.0,0.8774517466827281
5,10,1740.2222222222222,3126.823529411765,3402.0,3402.0,0.5115291658501535,1.0,0.9191133243420826
5,10,3541.111111111111,3551.0,3551.0,3551.0,0.9972151819518758,1.0,1.0
5,10,1660.0,2077.6470588235293,2426.0,2426.0,0.6842539159109645,1.0,0.8564085155909025
5,10,2015.7777777777776,5070.529411764705,5416.0,5416.0,0.37218939766945675,1.0,0.9362129637674862
5,10,9540.333333333334,10054.64705882353,10553.0,10553.0,0.9040399254556367,1.0,0.9527761829644206
5,10,1520.2222222222222,1870.831111111111,2349.0,2349.0,0.6471784683789792,1.0,0.796437254623717
5,10,1723.1111111111109,2456.0,2456.0,2456.0,0.701592471950778,1.0,1.0
5,10,3585.0,3585.0,3585.0,3585.0,1.0,1.0,1.0
5,10,2503.2222222222217,2605.0,2605.0,2605.0,0.9609298357858816,1.0,1.0
5,10,17652.0,17652.0,17652.0,17652.0,1.0,1.0,1.0
5,10,2648.333333333333,3086.882352941176,3364.0,3364.0,0.7872572334522393,1.0,0.9176225781632509
5,10,4319.444444444444,4461.0,4461.0,4461.0,0.9682682009514558,1.0,1.0
5,10,2419.8888888888887,3494.0,3494.0,3494.0,0.692584112446734,1.0,1.0
5,10,5315.0,5315.0,8726.0,8726.0,0.6090992436396975,1.0,0.6090992436396975
5,10,5438.888888888889,5519.0,5519.0,5519.0,0.9854844879305832,1.0,1.0
5,10,2809.777777777778,2986.1111111111113,4469.0,4469.0,0.6287262872628726,1.0,0.6681832873374606
5,10,5613.555555555556,9699.454545454544,12398.0,12398.0,0.4527791220806223,1.0,0.7823402601592632
5,10,1793.5555555555557,2162.0392156862745,2548.0,2548.0,0.703907203907204,1.0,0.8485240249946132
5,10,4178.888888888889,5246.0,5246.0,5246.0,0.7965857584614733,1.0,1.0
5,10,3458.111111111111,4543.0,4543.0,4543.0,0.7611954900090493,1.0,1.0
